Date,Portfolio_Value
2024-05-31,304684.89573152567
2024-06-03,302922.03412996745
2024-06-04,303157.16990153946
2024-06-05,307334.1553232846
2024-06-06,307432.19461924076
2024-06-07,305517.99318660435
2024-06-10,308014.02404101077
2024-06-11,308263.2225326345
2024-06-12,309219.4018829056
2024-06-13,308607.1073707063
2024-06-14,309240.33581090666
2024-06-17,311142.0476250809
2024-06-18,313925.3603294463
2024-06-20,313094.6593164995
2024-06-21,313052.34679675783
2024-06-24,314410.75041115
2024-06-25,317268.75307829905
2024-06-26,317445.12974686746
2024-06-27,316683.9259595599
2024-06-28,315066.1281656067
2024-07-01,315145.01139959286
2024-07-02,316251.03651756834
2024-07-03,318060.52466708067
2024-07-05,318030.0144290238
2024-07-08,317182.2635395776
2024-07-09,316368.8124504972
2024-07-10,320239.00151651347
2024-07-11,316280.4361201965
2024-07-12,316486.2090888269
2024-07-15,318037.0153916455
2024-07-16,317121.6130072269
2024-07-17,314405.49315828906
2024-07-18,312970.2986058857
2024-07-19,309956.44235104497
2024-07-22,311333.13097588986
2024-07-23,308751.8779397211
2024-07-24,305655.0798340284
2024-07-25,304143.2367071434
2024-07-26,304937.6035448537
2024-07-29,304418.8869549841
2024-07-30,301419.45480828075
2024-07-31,305459.8709582543
2024-08-01,299974.7963346563
2024-08-02,293909.2372502936
2024-08-05,286513.6793589416
2024-08-06,287617.9047775261
2024-08-07,286914.8682063764
2024-08-08,292954.3651709179
2024-08-09,294644.09625969344
2024-08-12,295761.05879949604
2024-08-13,298389.47693742113
2024-08-14,299467.5189546264
2024-08-15,304077.2390795824
2024-08-16,304929.22831773985
2024-08-19,307639.99797987886
2024-08-20,305858.6806745948
2024-08-21,306253.03676919354
2024-08-22,303587.2871683027
2024-08-23,306642.76327712584
2024-08-26,306924.9569920381
2024-08-27,305938.0617286251
2024-08-28,304034.9982667728
2024-08-29,304320.57583343616
2024-08-30,306114.2380001277
2024-09-03,299283.45094785996
2024-09-04,297690.75968138676
2024-09-05,296816.9310319328
2024-09-06,292675.38796353916
2024-09-09,294765.1383602381
2024-09-10,294320.1612418123
2024-09-11,296704.8338822113
2024-09-12,298762.53964160953
2024-09-13,302001.25186072703
2024-09-16,303903.44310318923
2024-09-17,304368.6649493156
2024-09-18,303381.394161491
2024-09-19,305517.94766556186
2024-09-20,306074.1666586574
2024-09-23,307482.9161289146
2024-09-24,308426.5050159456
2024-09-25,307640.52093080827
2024-09-26,307404.40855024563
2024-09-27,309061.67958047567
2024-09-30,310294.4213539437
2024-10-01,309699.4214931166
2024-10-02,309763.67534901993
2024-10-03,310926.37905743567
2024-10-04,312809.6075499665
2024-10-07,310489.3364898341
2024-10-08,310236.96909748047
2024-10-09,310958.1825276718
2024-10-10,311401.28825057525
2024-10-11,312770.17819085426
